SFS-nr	Rubrik
2015:739	Förordning (2015:739) med instruktion för Allmänna reklamationsnämnden
2015:743	Förordning (2015:743) med instruktion för Åklagarmyndigheten
2015:744	Förordning (2015:744) med instruktion för Ekobrottsmyndigheten
2015:745	Förordning (2015:745) om rådet för skydd av Europeiska unionens finansiella intressen
2015:801	Förordning (2015:801) om internationella skolor
2015:812	Lag (2015:812) om rapportering av betalningar till myndigheter
2015:827	Förordning (2015:827) om rapportering av betalningar till myndigheter
2015:847	Förordning (2015:847) om ränta på lån till hemutrustning för flyktingar och vissa andra utlänningar för år 2016
2015:848	Förordning (2015:848) om statsbidrag för särskilda främjande- och utvecklingsinsatser i syfte att påskynda nyanlända invandrares etablering på arbetsmarknaden
2015:859	Förordning (2015:859) om ränta vid betalningsskyldighet för underhållsstöd för år 2016
2015:860	Lag (2015:860) om internationella säkerhetsrätter i lösa saker
2015:881	Försäkringskassans föreskrifter (2015:881) om procenttal för ändring av vissa underhållsbidrag
2015:899	Lag (2015:899) om identitetskort för folkbokförda i Sverige
2015:904	Förordning (2015:904) om identitetskort för folkbokförda i Sverige
2015:911	Lag (2015:911) om identifiering av rapporteringspliktiga konton vid automatiskt utbyte av upplysningar om finansiella konton
2015:912	Lag (2015:912) om automatiskt utbyte av upplysningar om finansiella konton
2015:921	Förordning (2015:921) om identifiering av rapporteringspliktiga konton vid automatiskt utbyte av upplysningar om finansiella konton
2015:922	Förordning (2015:922) om automatiskt utbyte av upplysningar om finansiella konton
2015:926	Lag (2015:926) om avtal mellan Sverige och Guatemala om utbyte av upplysningar i skatteärenden
2015:927	Lag (2015:927) om avtal mellan Sverige och Vanuatu om utbyte av upplysningar i skatteärenden
2015:953	Lag (2015:953) om kollektivtrafikresenärers rättigheter
2015:957	Förordning (2015:957) om tillsyn över transportörers informationsskyldighet enligt lagen (2015:953) om kollektivtrafikresenärers rättigheter
2015:96	Lag (2015:96) om erkännande och verkställighet av frihetsberövande påföljder inom Europeiska unionen
2016:100	Förordning (2016:100) om statsbidrag för höjda löner till lärare och förskollärare
2016:1013	Lag (2016:1013) om personnamn
2016:1019	Förordning (2016:1019) om fastställande av omräknade belopp för energiskatt och koldioxidskatt för år 2017
2016:1020	Förordning (2016:1020) om fastställande av omräknade belopp för tobaksskatt för år 2017
2016:1021	Finansinspektionens tillkännagivande (2016:1021) om ändring av vissa skadelivräntor
2016:1022	Förordning (2016:1022) om inkomstgaranti, tjänstepension och vissa försäkringsförmåner för statsråd
2016:1024	Lag (2016:1024) om verksamhet med bostadskrediter
2016:1033	Förordning (2016:1033) om verksamhet med bostadskrediter
2016:1034	Förordning (2016:1034) om standardiserat EU-faktablad och beräkning av effektiv ränta vid bostadskrediter
2016:104	Tillkännagivande (2016:104) av ändring i bihang B till fördraget (2016:104) om internationell järnvägstrafik (COTIF)
2016:1044	Förordning (2016:1044) om arbetstid vid inlandssjöfart
2016:1048	Förordning (2016:1048) med instruktion för Myndigheten för tillväxtpolitiska utvärderingar och analyser
2016:105	Tillkännagivande (2016:105) av ändringar i bihangen D och E till fördraget (2016:105) om internationell järnvägstrafik (COTIF)
2016:1057	Lag (2016:1057) med kompletterande bestämmelser till EU:s förordning om europeiska politiska partier och europeiska politiska stiftelser
2016:1065	Förordning (2016:1065) om fastställande av andelar för fördelning av ålderspensionsavgifter och statliga ålderspensionsavgifter under år 2017
2016:1067	Lag (2016:1067) om skatt på kemikalier i viss elektronik
2016:1091	Lag (2016:1091) om budget och ekonomiadministration för riksdagens myndigheter
2016:1107	Försäkringskassans föreskrifter (2016:1107) om procenttal för ändring av vissa underhållsbidrag
2016:1108	Lag (2016:1108) om ersättning till riksdagens ledamöter
2016:1109	Lag (2016:1109) om stöd till partigrupperna för riksdagsledamöternas arbete i riksdagen
2016:1117	Lag (2016:1117) om registrering och hantering av gåvor mottagna av riksdagsledamöter
2016:1122	Lag (2016:1122) om skydd för vissa polisiära kännetecken på motorfordon
2016:1128	Förordning (2016:1128) om fluorerade växthusgaser
2016:1129	Förordning (2016:1129) om ozonnedbrytande ämnen
2016:1135	Förordning (2016:1135) om upphävande av Riksskatteverkets föreskrifter om bestämmande av hur stor del av lönefordran som skall vara skyddad mot arbetsgivares kvittning
2016:1137	Förordning (2016:1137) om bemyndigande för Kronofogdemyndigheten att meddela föreskrifter om avräkning vid återbetalning av skatter och avgifter
2016:1143	Förordning (2016:1143) om ränta vid betalningsskyldighet för underhållsstöd för år 2017
2016:1145	Lag (2016:1145) om offentlig upphandling
2016:1146	Lag (2016:1146) om upphandling inom försörjningssektorerna
2016:1147	Lag (2016:1147) om upphandling av koncessioner
2016:1162	Upphandlingsförordning (2016:1162)
2016:1201	Förordning (2016:1201) med instruktion för Brottsförebyggande rådet
2016:1204	Förordning (2016:1204) om ränta på lån till hemutrustning för flyktingar och vissa andra utlänningar för år 2017
2016:1226	Tillkännagivande  (2016:1226) av CPV-referensnummer för tjänstekontrakt vid upphandling på försvars- och säkerhets(2016:1226) området
2016:1227	Tillkännagivande ( 2016:1227) av de försvarsprodukter som avses i lagen (2016:1145) om offentlig upphandling
2016:1228	Tillkännagivande (2016:1228) av CPV-referensnummer för byggentreprenadkontrakt vid offentlig upphandling
2016:1231	Lag (2016:1231) om ömsesidigt bistånd med indrivning av vissa sanktionsavgifter vid utstationering
2016:1232	Förordning (2016:1232) om ömsesidigt bistånd med indrivning av vissa sanktionsavgifter vid utstationering
2016:1256	Lag (2016:1256) om beräkning av uppskovsbelopp i vissa fall
2016:1258	Förordning (2016:1258) om regional samordning inom det brottsförebyggande området
2016:1264	Förordning (2016:1264) om ersättning för kostnader i samband med vissa identitetskontroller vid transporter som utförs med buss, tåg eller passagerarfartyg till Sverige från en annan stat
2016:1283	Förordning (2016:1283) om statligt stöd genom nationellt utvecklingsbolag
2016:130	H.M. Konungens tillkännagivande (2016:130)
2016:1306	Lag (2016:1306) med kompletterande bestämmelser till EU:s marknadsmissbruksförordning
2016:1307	Lag (2016:1307) om straff för marknadsmissbruk på värdepappersmarknaden
2016:1316	Förordning (2016:1316) med kompletterande bestämmelser till EU:s marknadsmissbruksförordning och EU:s förordning om referensvärden
2016:1317	Förordning (2016:1317) om underrättelseskyldighet för åklagare och domstolar i fråga om marknadsmissbruk
2016:1318	Förordning (2016:1318) om Finansinspektionens rutiner för mottagande av anmälningar om regelöverträdelser
2016:1332	Förordning (2016:1332) med instruktion för Tullverket
2016:1333	Förordning  (2016:1333) med instruktion för Kronofogdemyndigheten
2016:1363	Förordning (2016:1363) om länsstyrelsernas uppdrag avseende insatser för asylsökande och vissa nyanlända invandrare
2016:1364	Förordning (2016:1364) om statsbidrag till verksamheter för asylsökande m.fl.
2016:1367	Förordning (2016:1367) om statsbidrag till allmänna samlingslokaler
2016:145	Lag (2016:145) om erkännande av yrkeskvalifikationer
2016:157	Förordning (2016:157) om erkännande av yrkeskvalifikationer
2016:187	Förordning (2016:187) om ekodesign
2016:188	Lag (2016:188) om patent- och marknadsdomstolar
2016:253	Tullag (2016:253)
2016:27	Utlänningsdatalag (2016:27)
2016:287	Tullförordning (2016:287)
2016:30	Utlänningsdataförordning (2016:30)
2016:319	Lag (2016:319) om skydd för geografisk information
2016:320	Förordning (2016:320) om skydd för geografisk information
2016:349	Förordning (2016:349) om Skogsstyrelsens planering, uppföljning och utvärdering av tillsyn
2016:35	Lag (2016:35) om bidrag för glasögon till vissa barn och unga
2016:350	Förordning (2016:350) om försöksverksamhet med anställning under viss kompletterande utbildning
2016:36	Förordning (2016:36) om bidrag för glasögon till vissa barn och unga
2016:363	Förordning (2016:363) om elektromagnetisk kompatibilitet
2016:364	Förordning (2016:364) om statsbidrag till kommuner för ökat bostadsbyggande
2016:38	Lag (2016:38) om mottagande av vissa nyanlända invandrare för bosättning
2016:385	Förordning (2016:385) om bidrag till kommunal energi- och klimatrådgivning
2016:39	Förordning (2016:39) om mottagande av vissa nyanlända invandrare för bosättning
2016:392	Radioutrustningslag (2016:392)
2016:394	Radioutrustningsförordning (2016:394)
2016:398	Förordning (2016:398) om stöd till utemiljöer i vissa bostadsområden
2016:4	Tillkännagivande (2016:4) av uppgift om Riksbankens referensränta
2016:40	Förordning (2016:40) om fördelning av anvisningar till kommuner
2016:402	Förordning (2016:402) om nematoder, insekter och spindeldjur som bekämpningsmedel
2016:408	Lag (2016:408) om skatteavtal mellan Sverige och Saudiarabien
2016:409	Lag (2016:409) om avtal mellan Sverige och Förenade Arabemiraten om utbyte av upplysningar i skatteärenden
2016:411	Förordning (2016:411) om tjänstepension, inkomstgaranti och avgångsvederlag till myndighetschefer
2016:415	Lag (2016:415) om förmedlingsavgifter för kortbaserade betalningstransaktioner
2016:417	Lag (2016:417) om statlig ersättning till personer som insjuknat i narkolepsi efter pandemivaccinering
2016:423	Förordning (2016:423) om effektreserv
2016:429	Lag (2016:429) om tillsyn över företag av allmänt intresse i fråga om revision
2016:443	Förordning (2016:443) om tillsyn över företag av allmänt intresse i fråga om revision
2016:5	Finansinspektionens tillkännagivande (2016:5) om ändring av vissa skadelivräntor
2016:526	Lag (2016:526) om behandling av personuppgifter i ärenden om licens för läkemedel
2016:533	Förordning (2016:533) om behandling av personuppgifter i ärenden om licens för läkemedel
2016:534	Lag (2016:534) om åtgärder för utbyggnad av bredbandsnät
2016:538	Förordning (2016:538) om åtgärder för utbyggnad av bredbandsnät
2016:561	Lag (2016:561) med kompletterande bestämmelser till EU:s förordning om elektronisk identifiering
2016:576	Förordning (2016:576) med kompletterande bestämmelser till EU:s förordning om elektronisk identifiering
2016:602	Förordning (2016:602) om finansiering av Post- och telestyrelsens verksamhet
2016:605	Förordning (2016:605) om tillämpning av Europeiska unionens statsstödsregler
2016:623	Förordning (2016:623) om redovisningscentraler och beställningscentraler för taxitrafik
2016:659	Lag (2016:659) om avgiftsfrihet för viss screening inom hälso- och sjukvården
2016:660	Förordning (2016:660) om avgiftsfrihet för screening för bröstcancer
2016:675	Skuldsaneringslag (2016:675)
2016:676	Lag (2016:676) om skuldsanering för företagare
2016:689	Skuldsaneringsförordning (2016:689)
2016:69	Förordning (2016:69) om värdepapperscentraler och kontoföring av finansiella instrument
2016:705	Förordning (2016:705) om kompletterande pedagogisk utbildning som leder till ämneslärarexamen för personer som har en examen på forskarnivå
2016:706	Förordning (2016:706) om utbildningsbidrag för kompletterande pedagogisk utbildning som leder till ämneslärarexamen för personer som har en examen på forskarnivå
2016:732	Elsäkerhetslag (2016:732)
2016:742	Förordning (2016:742) med instruktion för Energimarknadsinspektionen
2016:757	Lag (2016:757) om kvarstad på bankmedel inom EU
2016:767	Lag (2016:767) om överlämnande av vissa förvaltningsuppgifter till nationellt utvecklingsbolag
2016:768	Lag (2016:768) om marin utrustning
2016:770	Förordning (2016:770) om marin utrustning
2016:774	Lag (2016:774) om uppgiftsskyldighet vid samverkan mot viss organiserad brottslighet
2016:775	Förordning (2016:775) om uppgiftsskyldighet vid samverkan mot viss organiserad brottslighet
2016:822	Förordning (2016:822) med instruktion för Statistiska centralbyrån
2016:836	Förordning (2016:836) om elbusspremie
2016:837	Förordning (2016:837) om stöd för renovering och energieffektivisering i vissa bostadsområden
2016:838	Tillkännagivande (2016:838) av uppgift om Riksbankens referensränta
2016:848	Förordning (2016:848) om statligt stöd för att anordna och tillhandahålla bostäder för äldre personer
2016:858	Förordning (2016:858) om användning av genetiska resurser och traditionell kunskap om sådana resurser
2016:863	Förordning (2016:863) om prisbasbelopp och förhöjt prisbasbelopp för år 2017
2016:881	Förordning (2016:881) om statligt investeringsstöd för hyresbostäder och bostäder för studerande
2016:899	Förordning (2016:899) om bidrag till lagring av egenproducerad elenergi
2016:904	Förordning (2016:904) om tullinformationssystemet
2016:912	Förordning (2016:912) om rapportering av statistik om beslut om frysning och förverkande i Europeiska unionen
2016:919	Förordning (2016:919) om kvarstad på bankmedel inom EU
2016:927	Lag (2016:927) om skatteavtal mellan Sverige och Armenien
2016:928	Lag (2016:928) om skatteavtal mellan Sverige och Azerbajdzjan
2016:937	Förordning (2016:937) om statsbidrag för regional yrkesinriktad vuxenutbildning
2016:940	Förordning (2016:940) om inkomstbasbelopp för år 2017
2016:941	Förordning (2016:941) om inkomstindex för år 2017
2016:942	Förordning (2016:942) om balanstal för år 2017
2016:943	Förordning (2016:943) om dämpat balanstal för år 2017
2016:944	Förordning (2016:944) om balansindex för år 2017
2016:96	Lag (2016:96) om fritidsbåtar och vattenskotrar
2016:960	Lag (2016:960) om arbetstid vid inlandssjöfart
2016:964	Konkurrensskadelag (2016:964)
2016:977	Lag (2016:977) om kollektiv förvaltning av upphovsrätt
2016:978	Förordning (2016:978) om tillsyn över kollektiv förvaltning av upphovsrätt
2016:98	Förordning (2016:98) om fritidsbåtar och vattenskotrar
2016:981	Förordning (2016:981) om fastställande av omräknade belopp för vägavgift för år 2017
2016:986	Förordning (2016:986) om avgifter för tillsyn av åtgärder för att förebygga och begränsa följderna av allvarliga kemikalieolyckor
2016:989	Förordning (2016:989) om statsbidrag till film
2017:1	Tillkännagivande (2017:1) av uppgift om Riksbankens referensränta
2017:1000	Lag (2017:1000) om en europeisk utredningsorder
2017:1019	Förordning (2017:1019) om en europeisk utredningsorder
2017:1022	Förordning (2017:1022) om fastställande av omräknade belopp för tobaksskatt för år 2018
2017:1023	Förordning (2017:1023) om fastställande av omräknade belopp för energiskatt och koldioxidskatt för år 2018
2017:1026	Förordning (2017:1026) om underrättelse till Sveriges advokatsamfund om domar i vissa brottmål
2017:1040	Förordning (2017:1040) om elberedskapsavgift, nätövervakningsavgift och elsäkerhetsavgift
2017:1069	Förordning (2017:1069) om inkomstbasbelopp för år 2018
2017:1070	Förordning (2017:1070) om inkomstindex för år 2018
2017:1071	Förordning (2017:1071) om balanstal för år 2018
2017:1072	Förordning (2017:1072) om fastställande av andelar för fördelning av ålderspensionsavgifter och statliga ålderspensionsavgifter under år 2018
2017:1106	Förordning (2017:1106) om en försöksverksamhet med datorbaserade nationella prov, extern bedömning och central rättning
2017:1114	Förordning (2017:1114) med instruktion för Centrala studiestödsnämnden
2017:113	Förordning (2017:113) om Försvarsmaktens stöd till polisen med helikoptertransporter
2017:1179	Förordning (2017:1179) om finansiering av kärntekniska restprodukter
2017:1180	Förordning (2017:1180) om förvaltningen av kärnavfallsfondens medel
2017:1182	Förordning (2017:1182) om ränta vid betalningsskyldighet för underhållsstöd för år 2018
2017:120	Förordning (2017:120) om personnamn
2017:1201	Lag (2017:1201) om reduktion av växthusgasutsläpp från bensin och diesel
2017:1240	Förordning (2017:1240) om ansvar för vrak
2017:1249	Förordning (2017:1249) om medinflytande för totalförsvarspliktiga
2017:1254	Förordning (2017:1254) om statligt stöd av mindre betydelse inom jordbrukssektorn för viltskador och förebyggande av viltskador
2017:1267	Förordning (2017:1267) om ränta på lån till hemutrustning för flyktingar och vissa andra utlänningar för 2018
2017:1268	Förordning (2017:1268) med instruktion för Klimatpolitiska rådet
2017:1272	Lag (2017:1272) om Sveriges sjöterritorium och maritima zoner
2017:1273	Lag (2017:1273) om Sveriges angränsande zon
2017:1283	Försäkringskassans föreskrifter (2017:1283) om procenttal för ändring av vissa underhållsbidrag
2017:13	Förordning (2017:13) om behörighetsgivande förutbildning inom yrkeshögskolan
2017:1303	Förordning (2017:1303) om statsbidrag för lärcentrum
2017:1319	Förordning (2017:1319) om statligt stöd till åtgärder som bidrar till industrins klimatomställning
2017:1337	Förordning (2017:1337) om bidrag för grönare städer
2017:1338	Förordning (2017:1338) om bidrag till kommuner för att underlätta vindkraftsetableringar
2017:151	Lag (2017:151) om meddelarskydd i vissa enskilda verksamheter
2017:153	Förordning (2017:153) med instruktion för Bokföringsnämnden
2017:154	Förordning (2017:154) med instruktion för Skatteverket
2017:170	Förordning (2017:170) om statliga myndigheters betalningar och medelsförvaltning
2017:182	Lag (2017:182) om automatiskt utbyte av land-för-land-rapporter på skatteområdet
2017:186	Förordning (2017:186) om automatiskt utbyte av land-för-land-rapporter på skatteområdet
2017:193	Förordning (2017:193) om statlig ersättning för asylsökande m.fl.
2017:195	Förordning (2017:195) om stöd till forskning och utveckling samt innovation inom miljö, areella näringar och samhällsbyggande
2017:209	Lag (2017:209) om hälsoundersökning av barn och unga som vårdas utanför det egna hemmet
2017:212	Förordning (2017:212) om hälsoundersökning av barn och unga som vårdas utanför det egna hemmet
2017:214	Förordning (2017:214) om skatt på kemikalier i viss elektronik
2017:218	Elsäkerhetsförordning (2017:218)
2017:230	Lag (2017:230) om Pensionsmyndighetens försäkringsverksamhet i premiepensionssystemet
2017:237	Förordning (2017:237) om Pensionsmyndighetens försäkringsverksamhet i premiepensionssystemet
2017:244	Lag (2017:244) om kontroller och inspektioner på plats av Europeiska byrån för bedrägeribekämpning
2017:292	Förordning (2017:292) med instruktion för Myndigheten för familjerätt och föräldraskapsstöd
2017:30	Hälso- och sjukvårdslag (2017:30)
2017:309	Förordning (2017:309) om försöksverksamhet med automatiserade fordon
2017:310	Lag (2017:310) om framtidsfullmakter
2017:317	Lag (2017:317) med kompletterande bestämmelser till EU:s förordning om faktablad för Priip-produkter
2017:319	Förordning (2017:319) om utstationering av arbetstagare
2017:322	Lag (2017:322) om medling i vissa upphovsrättstvister
2017:372	Lag (2017:372) om stöd vid klagomål mot hälso- och sjukvården
2017:462	Förordning (2017:462) om särskilda insatser för personer med funktionsnedsättning som medför nedsatt arbetsförmåga
2017:473	Lag (2017:473) med kompletterande bestämmelser till 2015 års insolvensförordning
2017:485	Förordning (2017:485) med kompletterande bestämmelser till 2015 års insolvensförordning
2017:486	Förordning (2017:486) om utredningen i ärenden om ikraftträdande av en framtidsfullmakt
2017:496	Lag (2017:496) om internationellt polisiärt samarbete
2017:504	Förordning (2017:504) om internationellt polisiärt samarbete
2017:563	Museilag (2017:563)
2017:564	Förordning (2017:564) om statliga museers förfoganden över museiföremål
2017:583	Förordning (2017:583) om regionalt utvecklingsarbete
2017:584	Lag (2017:584) om ansvar för etableringsinsatser för vissa nyanlända invandrare
2017:612	Lag (2017:612) om samverkan vid utskrivning från sluten hälso- och sjukvård
2017:617	Förordning (2017:617) om fastställande av belopp för vård av utskrivningsklara patienter
2017:622	Förordning (2017:622) om statsbidrag för gymnasieskolans introduktionsprogram
2017:628	Förordning (2017:628) om statsbidrag till kulturarvsarbete
2017:630	Lag (2017:630) om åtgärder mot penningtvätt och finansiering av terrorism
2017:631	Lag (2017:631) om registrering av verkliga huvudmän
2017:667	Förordning (2017:667) om registrering av verkliga huvudmän
2017:720	Klimatlag (2017:720)
2017:721	Förordning (2017:721) om stöd till forsknings- och utvecklingsprojekt inom förorenade områden
2017:725	Kommunallag (2017:725)
2017:74	Barlastvattenförordning (2017:74)
2017:799	Förordning (2017:799) om försvarsinspektören för hälsa och miljös tillsyn över hälso- och sjukvården, tandvården och smittskyddet
2017:80	Hälso- och sjukvårdsförordning (2017:80)
2017:811	Förordning (2017:811) om statsbidrag till telefon- och webbaserade stödinsatser inom områdena alkohol, tobak och spel om pengar
2017:819	Förordning (2017:819) om ersättning till deltagare i arbetsmarknadspolitiska insatser
2017:820	Förordning (2017:820) om etableringsinsatser för vissa nyanlända invandrare
2017:843	Tillkännagivande (2017:843) av uppgift om Riksbankens referensränta
2017:865	Förordning (2017:865) om prisbasbelopp och förhöjt prisbasbelopp för år 2018
2017:868	Förordning (2017:868) med länsstyrelseinstruktion
2017:869	Förordning (2017:869) om bevakning av grundläggande betaltjänster
2017:870	Förordning (2017:870) om länsstyrelsernas krisberedskap och  uppgifter inför och vid höjd beredskap
2017:871	Förordning (2017:871) om rennäringsdelegationer
2017:872	Förordning (2017:872) om vattendelegationer
2017:900	Förvaltningslag (2017:900)
2017:928	Förordning (2017:928) om fastställande av omräknade belopp för vägavgift för år 2018
2017:929	Förordning (2017:929) om skiktgränser för statlig inkomstskatt för beskattningsåret 2018
2017:937	Förordning (2017:937) med instruktion för Jämställdhetsmyndigheten
2017:966	Miljöbedömningsförordning (2017:966)
2018:1	Tillkännagivande (2018:1) av uppgift  om Riksbankens referensränta
2018:10	Förordning (2018:10) om ersättning till kommuner efter evakueringar till Sverige
2018:1091	Lag (2018:1091) med kompletterande bestämmelser om etisk granskning till EU:s förordning om kliniska prövningar av humanläkemedel
2018:111	Förordning (2018:111) om statsbidrag till kommuner med svag bostadsmarknad
2018:1138	Spellag (2018:1138)
2018:1139	Lag (2018:1139) om skatt på spel
2018:1177	Brottsdatalag (2018:1177)
2018:1178	Lag (2018:1178) med kompletterande bestämmelser till EU:s förordning om gasanordningar
2018:1179	Förordning (2018:1179) med kompletterande bestämmelser till EU:s förordning om gasanordningar
2018:1180	Lag (2018:1180) om flygpassageraruppgifter i brottsbekämpningen
2018:1181	Förordning (2018:1181) om flygpassageraruppgifter i brottsbekämpningen
2018:1192	Djurskyddslag (2018:1192)
2018:1197	Lag (2018:1197) om Förenta nationernas konvention om barnets rättigheter
2018:1199	Förordning (2018:1199) med kompletterande bestämmelser till EU:s handlingsförordning
2018:1200	Kamerabevakningslag (2018:1200)
2018:1202	Brottsdataförordning (2018:1202)
2018:1212	Lag (2018:1212) om nationell läkemedelslista
2018:1217	Paketreselag (2018:1217)
2018:1218	Resegarantilag (2018:1218)
2018:1219	Lag (2018:1219) om försäkringsdistribution
2018:1231	Förordning (2018:1231) om försäkringsdistribution
2018:1235	Kriminalvårdsdatalag (2018:1235)
2018:1236	Kriminalvårdsdataförordning (2018:1236)
2018:125	Lag (2018:125) med kompletterande bestämmelser till EU:s förordning om personlig skyddsutrustning
2018:1250	Lag (2018:1250) om tillgodoräknande av tid för frihetsberövande
2018:1251	Strafftidslag (2018:1251)
2018:1264	Förordning (2018:1264) om digitalt inhämtande av uppgifter från företag
2018:127	Förordning (2018:127) med kompletterande bestämmelser till EU:s förordning om personlig skyddsutrustning
2018:1277	Lag (2018:1277) om elektroniska fakturor till följd av offentlig upphandling
2018:1289	Lag (2018:1289) om adoption i internationella situationer
2018:1296	Förordning (2018:1296) om adoption i internationella situationer
2018:1300	Förordning (2018:1300) om statligt stöd för driftsäkra och robusta posttjänster och elektroniska kommunikationer
2018:131	Lag (2018:131) om villkor för intjänande och bevarande av tjänstepension
2018:1334	Förordning (2018:1334) om standardformulär för paketresor och sammanlänkade researrangemang
2018:1340	Resegarantiförordning (2018:1340)
2018:1366	Förordning (2018:1366) om sökbegränsningar vid behandling av personuppgifter i vissa utbildningsformer och i viss verksamhet hos kommuner
2018:1384	Lag (2018:1384) om uppskovsbelopp vid betydande samhällsförflyttning
2018:1392	Lag (2018:1392) om upplösning av Sparbankernas säkerhetskassa
2018:1403	Tillkännagivande (2018:1403) av uppgift om Riksbankens referensränta
2018:1404	Förordning (2018:1404) om statsbidrag till arbetsmarknadens parter för att främja kunskapsutbyte och samverkan med myndigheter i syfte att motverka brott och andra regelöverträdelser i arbetslivet
2018:1428	Förordning (2018:1428) om myndigheters klimatanpassningsarbete
2018:1433	Lag (2018:1433) om upphävande av Statens energimyndighets föreskrifter och allmänna råd (NUTFS 2000:3) om mätning och rapportering av överförd naturgas
2018:1434	Lag (2018:1434) om upphävande av Statens energimyndighets föreskrifter (STEMFS 2005:4) om information om hushållsapparaters bullernivå
2018:1435	Lag (2018:1435) om upphävande av Statens energimyndighets föreskrifter (STEMFS 2005:5) om information om energi- och annan resursförbrukning hos elektriska tvättmaskiner för hushållsbruk
2018:1436	Lag (2018:1436) om upphävande av Statens energimyndighets föreskrifter (STEMFS 2005:6) om information om energiförbrukning hos elektriska torktumlare för hushållsbruk
2018:1437	Lag (2018:1437) om upphävande av Statens energimyndighets föreskrifter (STEMFS 2005:7) om information om energi- och annan resursförbrukning hos elektriska kombinerade tvättmaskiner-torktumlare för hushållsbruk
2018:1438	Lag (2018:1438) om upphävande av Statens energimyndighets föreskrifter (STEMFS 2005:8) om information om energi- och annan resursförbrukning hos elektriska diskmaskiner för hushållsbruk
2018:1439	Lag (2018:1439) om upphävande av Statens energimyndighets föreskrifter (STEMFS 2005:9) om information om energiförbrukning av elektriska lampor för hushållsbruk
2018:1440	Lag (2018:1440) om upphävande av Statens energimyndighets föreskrifter (STEMFS 2005:10) om information om energiförbrukning hos elektriska hushållsugnar
2018:1441	Lag (2018:1441) om upphävande av Statens energimyndighets föreskrifter (STEMFS 2005:11) om information om energiförbrukning hos elektriska luftkonditioneringsapparater för hushållsbruk
2018:1442	Lag (2018:1442) om upphävande av Statens energimyndighets föreskrifter (STEMFS 2005:12) om information om energiförbrukning hos elektriska kylskåp och frysar för hushållsbruk
2018:1443	Lag (2018:1443) om upphävande av Statens energimyndighets föreskrifter (STEMFS 2005:13) om energieffektivitetskrav för elektriska kylskåp och frysar för hushållsbruk
2018:1444	Förordning (2018:1444) om upphävande av Statens energimyndighets föreskrifter (NUTSFS 1998:3) om statligt bidrag till vissa investeringar inom energiområdet; biobränsleeldade kraftvärmeverk
2018:1445	Förordning (2018:1445) om upphävande av Statens energimyndighets föreskrifter (NUTSFS 1998:4) om statligt bidrag till vissa investeringar inom energiområdet; vindkraft
2018:1446	Förordning (2018:1446) om upphävande av Statens energimyndighets föreskrifter (NUTSFS 1998:5) om statligt bidrag till vissa investeringar inom energiområdet; små vattenkraftverk
2018:1447	Förordning (2018:1447) om upphävande av Statens energimyndighets föreskrifter (STEMFS 2001:2) om statligt bidrag till investering för ombyggnad och anslutning av eluppvärmda byggnader till fjärrvärme
2018:1472	Lag (2018:1472) om entreprenörsansvar för lönefordringar
2018:1475	Spelförordning (2018:1475)
2018:1476	Förordning (2018:1476) med instruktion för Spelinspektionen
2018:1486	Förordning (2018:1486) med instruktion för Myndigheten för digital förvaltning
2018:1495	Förordning (2018:1495) om statsbidrag för rekryterande insatser inom vuxenutbildning
2018:1500	Förordning (2018:1500) om stöd för åtgärder inom ramen för livsmedelsstrategin
2018:1519	Förordning (2018:1519) om behörighetsgivande och högskoleintroducerande utbildning
2018:152	Förordning (2018:152) om statsbidrag till socioekonomiskt eftersatta kommuner
2018:1520	Förordning (2018:1520) om intäktsram för elnätsverksamhet
2018:1528	Förordning (2018:1528) om statlig ersättning till Samhall Aktiebolag för en tjänst av allmänt ekonomiskt intresse
2018:1533	Förordning (2018:1533) om statsbidrag för säkerhetshöjande åtgärder till organisationer inom det civila samhället
2018:154	Förordning (2018:154) om godkännande av Euresmedlemmar och Euressamarbetspartner
2018:1549	Förordning (2018:1549) om prisbasbelopp och förhöjt prisbasbelopp för år 2019
2018:1579	Regeringens beslut (2018:1579) om fastställelse av ändring i stadgarna för Sveriges advokatsamfund
2018:158	Förordning (2018:158) om bidrag till åtgärder mot radon i småhus
2018:159	Tillkännagivande (2018:159) om elektronisk publicering av Svensk författningssamling
2018:1594	Förordning (2018:1594) om bidrag till kommuner för kostnader för flyttning, uppställning och skrotning av vissa fordon
2018:1614	Förordning (2018:1614) om merkostnadsersättning och omvårdnadsbidrag
2018:162	Lag (2018:162) om statlig ersättning till personer som har fått ändrad könstillhörighet fastställd i vissa fall
2018:1625	Lag (2018:1625) om skyldighet för vissa offentliga funktionärer att anmäla innehav av finansiella instrument
2018:1633	Förordning (2018:1633) om försäkringsmedicinska utredningar
2018:1635	Förordning (2018:1635) om fastställande av omräknat belopp för naturgrusskatt för år 2019
2018:1636	Förordning (2018:1636) om fastställande av omräknat belopp för avfallsskatt för år 2019
2018:1639	Förordning (2018:1639) om fastställande av omräknade belopp för tobaksskatt för år 2019
2018:1640	Förordning (2018:1640) om fastställande av omräknade belopp för vägavgift för år 2019
2018:1641	Förordning (2018:1641) om fastställande av omräknade belopp för flygskatt för år 2019
2018:1647	Förordning (2018:1647) om inkomstbasbelopp för år 2019
2018:1648	Förordning (2018:1648) om inkomstindex för år 2019
2018:1649	Förordning (2018:1649) om balanstal för år 2019
