SFS-nr	Rubrik
1962:120	Lag (1962:120) om straff i vissa fall för oriktigt ursprungsintyg m.m.
1962:303	Lag (1962:303) om förhöjning av vissa ersättningar i anledning av yrkesskada m.m.
1962:304	Förordning (1962:304) om förhöjning av vissa ersättningar av statsmedel i anledning av yrkesskada m.m.
1962:308	Förordning (1962:308) om förhöjning av vissa livräntor på grund av statsunderstödd olycksfallsförsäkring  för fiskare
1962:370	Kungörelse (1962:370) om avveckling av rekognitionsavgifterna till Danviks hospital
1962:379	Kungl. Maj:ts Kungörelse (1962:379) angående förhöjning av riddarhuskapitationsavgiften
1962:390	Gränssjukvårdsförordning (1962:390)
1962:512	Lag (1962:512) om indrivning i Sverige av underhållsbidrag, fastställda i Danmark,  Finland, Island eller Norge
1962:513	Kungörelse (1962:513) med vissa föreskrifter om indrivning och redovisning av underhållsbidrag,  fastställda i Danmark, Finland, Island eller Norge
1962:514	Kungörelse (1962:514) angående indrivning i Danmark, Finland, Island eller Norge av underhållsbidrag
1962:521	Förordning (1962:521) om frivillig pensionsförsäkring hos Pensionsmyndigheten
1962:627	Lag (1962:627) om utnyttjande av vattenkraft vid krig
1962:652	Förordning (1962:652) om Sveriges författarfond
1962:661	Förordning (1962:661) om samordning av reservpension med tilläggspension enligt socialförsäkringsbalken
1962:700	Brottsbalk (1962:700)
1963:115	Lag (1963:115) om förlängd semester för vissa arbetstagare med radiologiskt arbete
1963:193	Lag (1963:193) om samarbete med Danmark, Finland, Island och Norge angående verkställighet av straff m.m.
1963:194	Förordning (1963:194) om samarbete med Danmark, Finland, Island och Norge angående verkställighet av straff m.m.
1963:486	Kungörelse (1963:486) angående tillämpning mellan Sverige och Grekland av den europeiska konventionen  om social och medicinsk hjälp m.m.
1963:580	Brev (1963:580) till Sveriges Advokatsamfund angående fastställelse å stadgar för advokatsamfundet
1963:583	Lag (1963:583) om avveckling av fideikommiss
1963:587	Lag (1963:587) om inkomstbeskattning av fideikommissbo, m.m.
1964:163	Lag (1964:163) om införande av brottsbalken
1964:167	Lag (1964:167) med särskilda bestämmelser om unga lagöverträdare
1964:18	Kungörelse (1964:18) med vissa föreskrifter angående tillämpningen av lagen den 20 december 1957 (nr 684) om betalningsväsendet under krigsförhållanden
1964:19	Krigshandelslag (1964:19)
1964:323	Lag (1964:323) om fullgörande av vad som åligger landsfogde m.fl.
